a	has
à	to
absence	absence
affaire	matter
alla	went
allez	go
amies	friends
appartement	apartment
appartements	apartments
argent	silver
arrive	arrives
attendre	expect
au	to
aussi	as
autre	other
autres	others
aux	to
avait	had
avec	with
barbe	beard
bas	low
belles	beautiful
bien	well
bleue	blue
bonne	good
bonnes	good
bout	end
broderies	embroidered
c	that
cabinet	office
cadette	youngest
campagne	countryside
carrosse	carriage
carrosses	carriages
cassettes	treasuries
ce	that
cela	this
celle	this
celles	these
ces	these
cet	this
cette	this
chasse	hunting
chère	expensive
choix	choice
ci	here
clef	key
clefs	keys
coffres	chests
colère	anger
collations	lunches
commença	began
conclut	finalized
connaissance	acquaintance
conséquence	consequence
d	of
dame	lady
dans	in
danses	dances
de	of
défends	forbid
dégoûtait	disgusted
déjà	already
demanda	asked
demeura	lived
des	some
dès	from
deux	two
devant	before
devenues	became
deviez	must
dit	said
divertir	entertain
donner	give
dorés	golden
dormait	slept
du	of
elle	she
elles	they
en	in
encore	again
enfin	finally
enfuît	fled
entiers	whole
entrer	enter
épousé	married
est	is
et	and
étaient	were
était	was
être	be
eût	had
exactement	exactly
faire	do
femme	wife
femmes	women
festins	feasts
filles	girls
fît	did
fois	time
fort	strong
forts	strong
fut	was
galerie	gallery
garde	guard
gens	people
grande	big
grands	big
homme	man
honnête	honest
huit	eight
il	he
je	I
jours	days
l	the
la	the
laid	ugly
laissant	leaving
le	the
les	the
leur	their
leurs	their
logis	abode
lui	her
ma	my
mais	but
maisons	houses
maître	master
malheur	misfortune
malices	mischief
mariage	marriage
mena	took
menât	take
mère	mother
mes	my
meubles	furniture
moins	least
mois	month
mon	my
monte	climb
n	not
ne	not
nuit	night
obligé	obligated
observer	follow
on	they
or	gold
ordonné	ordered
ou	or
où	where
ouvrez	open
ouvrir	open
par	by
parfaitement	perfectly
part	departed
parties	parties
partout	everywhere
pas	not
passait	spent
passe	spent
pêche	fishing
pendant	during
personne	person
petit	little
petite	little
pierreries	jewels
plus	more
plusieurs	many
point	any
pour	for
pouvant	able
prendre	take
priait	hoped
promenades	walks
promit	promised
province	countryside
qu	that
qualité	quality
quatre	four
que	that
quelques	some
qui	who
rendait	made
renvoyèrent	sent
résoudre	resolve
retour	return
rien	nothing
s	if
sa	his
savait	know
se	herself
semaines	weeks
sert	used
ses	his
si	so
six	six
son	his
sont	are
sorte	manner
telle	such
terrible	terrible
tous	all
tout	everything
toute	all
toutes	both
trois	three
trouver	find
un	a
une	one
uns	each
vaisselle	dishes
venait	had
venir	come
ville	town
voilà	here
voisinage	neighborhood
voisines	neighbors
voudrait	wanted
voulaient	want
voulait	wanted
vous	you
voyage	journey
y	there
